dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,MI,30,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10442190000321716
LLD,CMI,30,0.4,0.5,0.4444444444444445,0.8125,5,4,0.0731180000002496
LLD,LASSO,30,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.4012505999999121
LLD,Boruta,30,1.0,1.0,1.0,1.0,4,4,7.100774200021988
LLD,RF,30,1.0,0.5,0.6666666666666666,1.0,2,4,1.2116716000018641
LLD,QMI-CFS,31,0.5,1.0,0.6666666666666666,0.75,8,4,0.7763792999903671
LLD,QMI-CFS-Classic,31,0.5,1.0,0.6666666666666666,0.75,8,4,0.3954438999935519
LLD,MI,31,0.6,0.75,0.6666666666666665,0.875,5,4,0.10019970001303591
LLD,CMI,31,0.4,0.5,0.4444444444444445,0.8125,5,4,0.061479800002416596
LLD,LASSO,31,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.39597389998380095
LLD,Boruta,31,1.0,1.0,1.0,1.0,4,4,16.584507499996107
LLD,RF,31,1.0,0.5,0.6666666666666666,1.0,2,4,1.2178094999981113
LLD,QMI-CFS,32,0.5,1.0,0.6666666666666666,0.75,8,4,0.7666511999850627
LLD,QMI-CFS-Classic,32,0.5,1.0,0.6666666666666666,0.75,8,4,0.4008771000080742
LLD,MI,32,0.4,0.5,0.4444444444444445,0.8125,5,4,0.11552829999709502
LLD,CMI,32,0.6,0.75,0.6666666666666665,0.875,5,4,0.0853103999979794
LLD,LASSO,32,0.2,1.0,0.33333333333333337,0.0,20,4,0.3921222999924794
LLD,Boruta,32,0.8,1.0,0.888888888888889,0.9375,5,4,27.40016769999056
LLD,RF,32,1.0,0.5,0.6666666666666666,1.0,2,4,1.2073772000148892
LLD,QMI-CFS,33,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.7768122999987099
LLD,QMI-CFS-Classic,33,0.5,1.0,0.6666666666666666,0.75,8,4,0.39782879999256693
LLD,MI,33,0.6,0.75,0.6666666666666665,0.875,5,4,0.09502169999177568
LLD,CMI,33,0.4,0.5,0.4444444444444445,0.8125,5,4,0.06082919999607839
LLD,LASSO,33,0.3076923076923077,1.0,0.47058823529411764,0.4375,13,4,0.3841979000135325
LLD,Boruta,33,1.0,1.0,1.0,1.0,4,4,25.60792889998993
LLD,RF,33,1.0,0.5,0.6666666666666666,1.0,2,4,1.231829700001981
LLD,QMI-CFS,34,0.5,1.0,0.6666666666666666,0.75,8,4,0.7757117000001017
