dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
LLD,RF,22,0.5347091966459185,0.6065238600010423,26.73545983095915,1.568139599985443
LLD,All-Features,22,0.0732263615171056,0.45482251285504743,3.661318075672214,0.010021900001447648
LLD,QMI-CFS,23,0.08313145766289765,0.39636201690756506,4.156572882937053,0.9860051000141539
LLD,MI,23,0.8115101970616907,0.8311119583702747,40.575509851055756,0.13312659997609444
LLD,CMI,23,0.053477920394367384,0.12558140661550513,2.6738960195846744,0.09824959997786209
LLD,LASSO,23,0.013050069467025693,0.3876991082064227,0.6525034733186594,0.71096349999425
LLD,Boruta,23,0.0613739449926074,0.14173864695024724,3.068697249476935,56.11750039999606
LLD,RF,23,0.7817360801715241,0.7602485348242651,39.08680400662186,2.772440100001404
LLD,All-Features,23,0.013557201063057356,0.40146292726414406,0.6778600531189748,0.017469200014602393
LLD,QMI-CFS,24,0.09945047758167624,0.3975409090705802,4.972523878835186,1.8023809000151232
LLD,MI,24,0.8459127824438788,0.9227861632755265,42.29563912007916,0.22802400001091883
LLD,CMI,24,0.3859019734844251,0.5240082240465135,19.2950986732565,0.15408010000828654
LLD,LASSO,24,0.05213001880527268,0.4199954146413178,2.606500940133309,0.8807188999780919
LLD,Boruta,24,0.07524063121298652,0.2982064162977923,3.7620315604612244,57.0876702000096
LLD,RF,24,0.6580209686897653,0.661698507065291,32.90104843284322,2.7725987999874633
LLD,All-Features,24,0.051424377346686034,0.45396172463520107,2.5712188672057406,0.013726400007726625
LLD,QMI-CFS,25,0.31386516890241634,0.3932624738973928,15.693258444336152,1.7888250999967568
LLD,MI,25,1.1798145985422654,1.2035033596108204,58.99072992416373,0.224890499986941
LLD,CMI,25,0.5956780296924431,0.6874250051596257,29.783901483132958,0.1590851999935694
LLD,LASSO,25,0.17702352442214808,0.5085945444809398,8.851176220664845,0.9057434000133071
LLD,Boruta,25,0.2719540306216879,0.33631309285333977,13.59770153040451,58.51389129998279
LLD,RF,25,0.9833873501033668,0.995895471437498,49.16936750270987,2.7895868999767117
LLD,All-Features,25,0.17702352442214808,0.5085945444809398,8.851176220664845,0.018632999999681488
LLD,QMI-CFS,26,0.13619995928382833,0.2916371779120854,6.8099979638509165,1.804876999987755
LLD,MI,26,0.32128498462855726,0.49512845618298473,16.06424923062465,0.22522650001337752
LLD,CMI,26,0.4377555812599563,0.5446382200637787,21.887779061903426,0.15563510000356473
LLD,LASSO,26,0.05186023420202224,0.406277659575993,2.5930117099714614,0.8727388999832328
LLD,Boruta,26,0.03472454976776129,0.2997202766860235,1.7362274883012532,55.820475999993505
LLD,RF,26,0.6998066785074322,0.7493536980439841,34.99033392362209,2.741816399997333
LLD,All-Features,26,0.05186023420202224,0.406277659575993,2.5930117099714614,0.016821700002765283
LLD,QMI-CFS,27,0.0678237421998178,0.4409156720403132,3.39118710982133,1.7852140000031795
LLD,MI,27,0.31927813371225566,0.34161525219502253,15.963906684814589,0.22476780001306906
LLD,CMI,27,0.022319421533224526,0.2669305684623901,1.1159710766054276,0.16069389999029227
LLD,LASSO,27,0.07116631966061515,0.40183609189037023,3.5583159828528417,0.8933332999877166
LLD,Boruta,27,0.03236862972420074,0.21705650395772824,1.6184314861291151,30.918880999990506
LLD,RF,27,0.6601153328802272,0.6124195962383763,33.00576664236107,2.808345099998405
LLD,All-Features,27,0.07116631966061515,0.40183609189037023,3.5583159828528417,0.015222400019410998
LLD,QMI-CFS,28,0.03265181613393997,0.17730517251526287,1.632590806615369,1.7853106999828015
LLD,MI,28,0.9573466563682822,0.9621914083273098,47.86733281602074,0.22366109999711625
LLD,CMI,28,0.6442506658159699,0.650103319238952,32.21253328918787,0.160771199996816
LLD,LASSO,28,0.06217960780638476,0.3678024550171756,3.108980390163789,0.9093646999972407
LLD,Boruta,28,0.06847610350731315,0.200733170865666,3.423805175194467,20.057152299996233
LLD,RF,28,0.8544504473036523,0.879503783518871,42.72252236304649,2.7612302000052296
LLD,All-Features,28,0.06217960780638476,0.3678024550171756,3.108980390163789,0.017304800014244393
LLD,QMI-CFS,29,0.021828243958572857,0.41438768536779175,1.0914121978740723,1.7837544000067282
LLD,MI,29,0.42327853026332374,0.6701966936492162,21.16392651210799,0.22677619999740273
LLD,CMI,29,0.4773821998295573,0.6999757607695317,23.86910999028441,0.1597990000154823
LLD,LASSO,29,0.029948620075118892,0.4763851814717617,1.4974310036810732,0.8930584999907296
LLD,Boruta,29,0.040388145153971156,0.37967043774126535,2.0194072575975874,54.6606706000166
LLD,RF,29,0.8341705687079322,0.9940745120558463,41.70852843331118,2.7631508999911603
LLD,All-Features,29,0.029948620075118892,0.4763851814717617,1.4974310036810732,0.01491830000304617
NLC,QMI-CFS,0,0.08208185352057584,0.667816439407878,5.472123567673581,1.8193679000250995
NLC,MI,0,0.03784735443545184,0.8099249736724967,2.523156962195246,0.2211189999943599
NLC,CMI,0,0.00028496069428718407,0.6103565788231791,0.018997379617879114,0.1541436999978032
NLC,LASSO,0,0.08527478491755835,1.080072950738368,5.684985660791558,0.8649157999898307
NLC,Boruta,0,0.11563633020310271,0.6265214844396194,7.709088679692908,53.69494879999547
NLC,RF,0,0.07427613848993997,0.8456090904778206,4.951742565665882,2.758504500001436
