n_samples,method,replication,f1,ate_error,runtime
100,All-Features,47,0.5,0.10470175770363266,0.003848800028208643
100,QMI-CFS,48,0.3333333333333333,0.040658588290252595,2.224349899974186
100,MI,48,0.4000000000000001,0.22693055852628996,0.051317699952051044
100,CMI,48,0.6,0.43440765919185376,0.03788339998573065
100,LASSO,48,0.5263157894736842,0.4079127557856643,0.12866240000585094
100,Boruta,48,0.33333333333333337,0.38100211892526037,17.755543300008867
100,RF,48,0.5714285714285715,0.17377415919334505,1.0246375999995507
100,All-Features,48,0.5,0.3896340177063067,0.004362699983175844
100,QMI-CFS,49,0.5454545454545454,1.0464816862022057,2.2767408000072464
100,MI,49,0.6,1.3046599884168404,0.05783419997896999
100,CMI,49,0.8000000000000002,0.7145497190380303,0.025938699953258038
100,LASSO,49,0.5,0.4831627080964638,0.18402689998038113
100,Boruta,49,0.7499999999999999,1.0334267666008299,29.239934400015045
100,RF,49,0.5714285714285715,1.3712538644019192,1.104709300037939
100,All-Features,49,0.5,0.4831627080964638,0.004318299994338304
250,QMI-CFS,0,0.6666666666666666,0.16364099805055465,2.386417400033679
250,MI,0,0.4000000000000001,0.692613425448708,0.05430349998641759
250,CMI,0,0.6,0.3425400409597539,0.0367716999608092
250,LASSO,0,0.5263157894736842,0.16029284782466346,0.280192700040061
250,Boruta,0,0.5714285714285715,0.44919867093237364,18.099481600045692
250,RF,0,0.5714285714285715,0.5002494887789353,1.110368900001049
250,All-Features,0,0.5,0.18133373828292987,0.005655099987052381
250,QMI-CFS,1,0.6153846153846154,0.4213959127164859,2.4051768999779597
250,MI,1,0.6,0.8267469672595289,0.062441399961244315
250,CMI,1,0.6,0.8007155147984384,0.040258599969092757
250,LASSO,1,0.5263157894736842,0.012389999322778511,0.264319300011266
250,Boruta,1,0.7499999999999999,0.7375978679821307,19.84434000001056
250,RF,1,0.5714285714285715,1.0813072708152012,1.1815893999882974
250,All-Features,1,0.5,0.02185395993950534,0.005539399979170412
250,QMI-CFS,2,0.6666666666666666,0.6398889926224465,2.3902724999934435
250,MI,2,0.4000000000000001,1.4335802114267584,0.061422099999617785
250,CMI,2,0.4000000000000001,1.6132395239432475,0.034772500046528876
250,LASSO,2,0.5,0.32101471172915463,0.24516579997725785
250,Boruta,2,0.888888888888889,0.5817964246535015,23.035555400012527
250,RF,2,0.5714285714285715,1.1344472513519284,1.089909800037276
250,All-Features,2,0.5,0.32101471172915463,0.0034859999432228506
250,QMI-CFS,3,0.5,0.22108804717344066,2.3992032000096515
250,MI,3,0.8000000000000002,0.017074944360003785,0.051651200046762824
250,CMI,3,1.0,0.28825695120050665,0.03894850000506267
250,LASSO,3,0.5555555555555556,0.20922835041222654,0.266819599957671
250,Boruta,3,0.6666666666666665,0.15037792492603108,22.464171300001908
250,RF,3,0.5714285714285715,0.6309256286178817,1.0917000999907032
250,All-Features,3,0.5,0.22511424261753477,0.0038149000029079616
250,QMI-CFS,4,0.4000000000000001,0.7842040451166814,2.4248297000303864
250,MI,4,0.8000000000000002,0.4750764714560418,0.05107129999669269
250,CMI,4,0.20000000000000004,1.2700567521632382,0.04328379995422438
250,LASSO,4,0.5555555555555556,0.28609136204639807,0.25384580000536516
250,Boruta,4,0.5714285714285715,0.7281934581705594,21.56373719999101
250,RF,4,0.5714285714285715,0.7281934581705594,1.068390799977351
250,All-Features,4,0.5,0.2942091965204119,0.006107900000642985
250,QMI-CFS,5,0.6666666666666666,0.3014400104348489,2.4265685999998823
250,MI,5,0.6,0.7755213037825421,0.06114590005017817
250,CMI,5,0.4000000000000001,1.021571513650143,0.041919899987988174
250,LASSO,5,0.5,0.17467125565998343,0.2728480000514537
250,Boruta,5,0.8000000000000002,0.3091706698946508,14.169869299978018
250,RF,5,0.5714285714285715,1.0223553147664952,1.1978347999975085
250,All-Features,5,0.5,0.17467125565998343,0.00403589999768883
250,QMI-CFS,6,0.5,0.42657035743468175,2.4107409000280313
250,MI,6,0.4000000000000001,1.0177092711861269,0.05863009998574853
250,CMI,6,0.6,0.6766511745743,0.03618649998679757
250,LASSO,6,0.5263157894736842,0.024987596700518644,0.2715789999929257
250,Boruta,6,0.6666666666666665,0.48653614783927424,15.37622699997155
250,RF,6,0.5714285714285715,0.8184173247258424,1.280915700015612
250,All-Features,6,0.5,0.02994852816475424,0.004607999988365918
250,QMI-CFS,7,0.7272727272727272,0.32194028433283606,2.455481000011787
250,MI,7,0.6,0.7655782606438533,0.05436849995749071
250,CMI,7,0.6,0.640854875956058,0.034625899977982044
250,LASSO,7,0.5,0.052067153301920355,0.25873100000899285
250,Boruta,7,0.888888888888889,0.3057102781154635,23.200058999995235
250,RF,7,0.5714285714285715,0.9208280821277022,1.1269241000409238
250,All-Features,7,0.5,0.052067153301920355,0.00559910002630204
250,QMI-CFS,8,0.7272727272727272,0.5098442700921249,2.413907000038307
250,MI,8,0.4000000000000001,1.2821059226815064,0.054077800014056265
250,CMI,8,0.4000000000000001,1.180082381983925,0.03768790001049638
250,LASSO,8,0.5,0.037302280501232854,0.25643060001311824
250,Boruta,8,0.9090909090909091,0.14391855511590812,12.479565399989951
250,RF,8,0.5714285714285715,1.178902622279332,1.08307789999526
250,All-Features,8,0.5,0.037302280501232854,0.007717600034084171
250,QMI-CFS,9,0.3636363636363636,1.160084389855787,2.4313150999951176
